,Open,Close*,Previous Day Close,S&P Open,Nikkei Close
2067,5915.6,5927.9,5871.5,1367.56,9722.52
2068,5935.1,5915.6,5927.9,1365.2,9633.93
2069,5937.9,5935.1,5915.6,1363.46,9647.38
2070,5916.6,5937.9,5935.1,1357.53,9595.57
2071,5928.2,5916.6,5937.9,1362.11,9554.0
2072,5945.3,5928.2,5916.6,1361.22,9463.02
2073,5885.4,5905.1,5945.3,1358.06,9384.17
2074,5892.2,5885.4,5905.1,1342.61,9238.1
2075,5899.9,5892.2,5885.4,1350.52,9260.34
2076,5905.7,5899.9,5892.2,1351.3,9052.07
2077,5852.4,5905.7,5899.9,1343.06,8999.18
2078,5895.5,5852.4,5905.7,1351.21,8947.17
2079,5875.9,5895.5,5852.4,1349.97,9002.24
2080,5890.3,5875.9,5895.5,1347.04,9015.59
2081,5892.2,5890.3,5875.9,1344.33,8917.52
2082,5901.1,5892.2,5890.3,1344.32,8929.2
2083,5796.1,5901.1,5892.2,1326.21,8831.93
2084,5790.7,5796.1,5901.1,1324.24,8876.82
2085,5681.6,5790.7,5796.1,1312.45,8809.79
2086,5671.1,5681.6,5790.7,1313.53,8802.51
2087,5733.5,5671.1,5681.6,1316.16,8793.05
2088,5795.2,5733.5,5671.1,1318.25,8841.22
2089,5723.0,5795.2,5733.5,1326.28,8849.47
2090,5751.9,5723.0,5795.2,1314.4,8883.69
2091,5782.6,5751.9,5723.0,1315.96,8785.33
2092,5728.6,5782.6,5751.9,1315.29,8765.9
2093,5741.2,5728.6,5782.6,1314.49,8766.36
2094,5702.4,5741.2,5728.6,1308.07,8639.68
2095,5694.0,5702.4,5741.2,1293.65,8550.58
2096,5657.4,5694.0,5702.4,1290.22,8466.4
2097,5662.4,5636.6,5657.4,1294.82,8500.02
2098,5670.8,5662.4,5636.6,1292.48,8385.59
2099,5696.7,5670.8,5662.4,1292.02,8447.88
2100,5612.3,5696.7,5670.8,1280.77,8422.26
2101,5624.3,5649.7,5612.3,1280.93,8390.35
2102,5668.5,5624.3,5649.7,1277.3,8488.71
2103,5699.9,5668.5,5624.3,1277.03,8560.11
2104,5566.8,5572.3,5699.9,1262.82,8455.35
2105,5507.4,5566.8,5572.3,1249.75,8398.89
2106,5512.7,5507.4,5566.8,1265.38,8423.62
2107,5389.7,5457.0,5512.7,1243.72,8395.16
2108,5419.6,5389.7,5457.0,1241.25,8459.98
2109,5365.0,5419.6,5389.7,1205.72,8336.48
2110,5387.3,5365.0,5419.6,1219.74,8296.12
2111,5400.9,5387.3,5365.0,1216.09,8401.72
2112,5366.8,5400.9,5387.3,1212.12,8377.37
2113,5490.2,5366.8,5400.9,1225.73,8519.13
2114,5427.9,5490.2,5366.8,1236.83,8552.81
2115,5529.2,5427.9,5490.2,1255.05,8653.82
2116,5483.8,5529.2,5427.9,1234.48,8536.46
2117,5546.9,5483.8,5529.2,1260.87,8664.58
2118,5568.7,5546.9,5483.8,1258.14,8722.17
2119,5568.0,5568.7,5546.9,1257.19,8575.16
2120,5552.3,5568.0,5568.7,1244.33,8695.98
2121,5489.3,5552.3,5568.0,1246.03,8643.75
2122,5505.4,5489.3,5552.3,1246.91,8597.38
2123,5337.0,5505.4,5489.3,1196.72,8434.61
2124,5312.8,5337.0,5505.4,1192.56,8477.82
